label, Latitude, Longitude
10, 40.757783, -73.97771899999998
10, 40.757729, -73.977616
10, 40.757648, -73.977452
10, 40.757656, -73.977559
10, 40.758423, -73.975125
10, 40.75846, -73.975139
10, 40.758335, -73.97504499999998
10, 40.764683, -73.97242099999998
10, 40.757557, -73.977503
10, 40.757373, -73.977035
10, 40.757423, -73.97712699999998
10, 40.757367, -73.97743
10, 40.757367, -73.977467
10, 40.757388, -73.977568
10, 40.757877, -73.977995
10, 40.757871, -73.977829
10, 40.758618, -73.97491599999998
10, 40.758558, -73.97495399999998
10, 40.758093, -73.974992
10, 40.758495, -73.974815
10, 40.758412, -73.97481
10, 40.764753, -73.972173
10, 40.764768, -73.97225
10, 40.757213, -73.977438
10, 40.757267, -73.977654
10, 40.757173, -73.977495
10, 40.75707, -73.977394
10, 40.757322, -73.977773
10, 40.758121, -73.97797099999998
10, 40.758871, -73.974855
10, 40.757977, -73.97476299999998
10, 40.757825, -73.975047
10, 40.757854, -73.974822
10, 40.75862, -73.97458
10, 40.758198, -73.974638
10, 40.757111, -73.977798
10, 40.757177, -73.97793799999998
10, 40.756977, -73.97771199999998
10, 40.757053, -73.977795
10, 40.756832, -73.97749299999998
10, 40.756948, -73.977129
10, 40.757175, -73.97802
10, 40.757278, -73.978055
10, 40.759105, -73.97485899999998
10, 40.758899, -73.974575
10, 40.759058, -73.974963
10, 40.758065, -73.974689
10, 40.758115, -73.974677
10, 40.757942, -73.974492
10, 40.758141, -73.974541
10, 40.757755, -73.974627
10, 40.75755, -73.975138
10, 40.757667, -73.974793
10, 40.757572, -73.975048
10, 40.757615, -73.97511
10, 40.757748, -73.97529199999998
10, 40.757709, -73.975024
10, 40.757614, -73.974956
10, 40.757702, -73.975317
10, 40.758863, -73.974456
10, 40.75856, -73.974349
10, 40.758347, -73.974383
10, 40.757107, -73.97802799999998
10, 40.757073, -73.978001
10, 40.756997, -73.97783599999998
10, 40.756997, -73.977942
10, 40.757275, -73.978206
10, 40.757362, -73.978126
10, 40.756807, -73.97782499999998
10, 40.756805, -73.977946
10, 40.756724, -73.977844
10, 40.757448, -73.978069
10, 40.759165, -73.97511799999998
10, 40.759202, -73.975138
10, 40.759038, -73.974552
10, 40.759025, -73.975167
10, 40.75799, -73.97432999999998
10, 40.757657, -73.97441499999998
10, 40.757553, -73.974451
10, 40.757493, -73.975412
10, 40.757428, -73.975352
10, 40.757476, -73.97506
10, 40.757283, -73.975245
10, 40.757684, -73.975458
10, 40.75752, -73.975537
10, 40.758333, -73.97413799999998
10, 40.75843, -73.974267
10, 40.757458, -73.978297
10, 40.757179, -73.978402
10, 40.757149, -73.97837
10, 40.756675, -73.978048
10, 40.756836, -73.978223
10, 40.7566, -73.977582
10, 40.759384, -73.975143
10, 40.757275, -73.975283
10, 40.757563, -73.975693
10, 40.757155, -73.975407
10, 40.75723, -73.97556299999998
10, 40.757258, -73.974948
10, 40.757034, -73.97534799999998
10, 40.757042, -73.97522499999998
10, 40.75779, -73.975615
10, 40.758112, -73.97403799999998
10, 40.758225, -73.97403699999998
10, 40.756923, -73.97831399999998
10, 40.756551, -73.978228
10, 40.756603, -73.978389
10, 40.756372, -73.977518
10, 40.75637, -73.977508
10, 40.756512, -73.978333
10, 40.756562, -73.97837
10, 40.756307, -73.978215
